id_viaje,hora_pico,dia_semana,troncal,evento_especial,condicion_clima,retraso_significativo
1,0,Sábado,NQS,0,Soleado,0
2,1,Jueves,Calle 26,0,Lluvia,0
3,1,Jueves,NQS,0,Lluvia,0
4,0,Lunes,NQS,0,Nublado,1
5,1,Miércoles,Americas,0,Nublado,0
6,0,Jueves,NQS,0,Nublado,0
7,1,Lunes,Autonorte,0,Lluvia,1
8,0,Domingo,Eldorado,0,Lluvia,0
9,1,Domingo,Americas,0,Lluvia,0
10,1,Jueves,Autonorte,0,Soleado,0
11,0,Sábado,Americas,0,Soleado,0
12,0,Domingo,Eldorado,0,Lluvia,0
13,0,Sábado,Americas,0,Lluvia,1
14,0,Martes,Americas,0,Soleado,0
15,0,Viernes,Americas,0,Lluvia,0
16,0,Jueves,Calle 26,0,Nublado,0
17,1,Martes,Calle 80,0,Soleado,0
18,1,Domingo,Eldorado,0,Soleado,1
19,1,Lunes,Caracas,0,Lluvia,0
20,0,Viernes,Eldorado,0,Nublado,0
21,0,Domingo,Americas,0,Nublado,0
22,1,Martes,Eldorado,0,Nublado,0
23,1,Martes,Calle 80,0,Lluvia,0
24,0,Domingo,Caracas,0,Soleado,1
25,1,Domingo,Caracas,0,Lluvia,0
26,0,Domingo,Americas,0,Soleado,0
27,1,Jueves,Americas,0,Lluvia,0
28,1,Jueves,Caracas,0,Nublado,0
29,0,Jueves,Eldorado,0,Soleado,0
30,1,Lunes,Eldorado,0,Lluvia,0
31,0,Jueves,Americas,0,Nublado,0
32,0,Martes,Autonorte,0,Soleado,0
33,0,Jueves,Calle 80,0,Nublado,0
34,1,Martes,Suba,0,Nublado,0
35,0,Martes,Suba,0,Lluvia,0
36,0,Martes,Caracas,0,Soleado,0
37,0,Lunes,Americas,0,Soleado,1
38,0,Martes,Calle 26,0,Soleado,0
39,0,Viernes,Calle 80,0,Soleado,1
40,1,Jueves,Suba,1,Nublado,0
41,0,Miércoles,NQS,0,Lluvia,0
42,1,Sábado,Calle 80,0,Soleado,0
43,1,Domingo,Calle 26,0,Soleado,0
44,1,Viernes,Calle 26,0,Nublado,1
45,0,Miércoles,Caracas,0,Nublado,0
46,0,Domingo,Autonorte,1,Lluvia,1
47,1,Martes,Calle 80,0,Soleado,0
48,1,Jueves,Calle 26,0,Soleado,0
49,0,Domingo,Autonorte,0,Soleado,0
50,0,Miércoles,Americas,0,Soleado,0
51,0,Sábado,Calle 80,0,Lluvia,0
52,0,Sábado,Calle 80,0,Nublado,0
53,1,Miércoles,Americas,0,Soleado,0
54,0,Sábado,NQS,0,Nublado,0
55,0,Lunes,NQS,0,Soleado,0
56,1,Jueves,Eldorado,0,Lluvia,0
57,0,Lunes,Caracas,0,Soleado,1
58,1,Viernes,Suba,0,Lluvia,0
59,0,Jueves,Eldorado,0,Nublado,0
60,0,Domingo,Caracas,0,Soleado,1
61,1,Viernes,Calle 80,0,Soleado,1
62,1,Martes,Autonorte,0,Nublado,0
63,1,Viernes,Suba,0,Lluvia,1
64,0,Sábado,Eldorado,0,Nublado,0
65,1,Jueves,Americas,0,Nublado,0
66,0,Viernes,Calle 80,0,Nublado,0
67,1,Domingo,Eldorado,1,Lluvia,1
68,0,Jueves,Americas,0,Soleado,0
69,0,Jueves,Calle 26,0,Soleado,0
70,1,Domingo,Eldorado,0,Lluvia,0
71,0,Martes,Calle 26,0,Lluvia,1
72,1,Lunes,Caracas,1,Soleado,1
73,0,Lunes,Suba,0,Nublado,0
74,1,Miércoles,Eldorado,0,Soleado,0
75,0,Jueves,NQS,0,Lluvia,1
76,1,Domingo,Calle 26,0,Nublado,0
77,1,Martes,NQS,0,Soleado,0
78,0,Viernes,Eldorado,0,Lluvia,1
79,0,Viernes,Eldorado,0,Soleado,0
80,0,Lunes,NQS,0,Nublado,0
81,0,Lunes,Calle 26,0,Nublado,0
82,0,Domingo,Calle 26,0,Nublado,0
83,1,Sábado,Calle 26,0,Lluvia,0
84,0,Jueves,Suba,0,Nublado,0
85,1,Sábado,NQS,0,Soleado,0
86,0,Sábado,Autonorte,0,Soleado,0
87,0,Lunes,Suba,0,Soleado,0
88,0,Lunes,Caracas,0,Nublado,0
89,0,Martes,Autonorte,0,Nublado,0
90,0,Martes,Autonorte,0,Lluvia,0
91,1,Martes,Americas,1,Soleado,1
92,1,Sábado,Autonorte,0,Lluvia,0
93,0,Jueves,Americas,0,Soleado,0
94,1,Sábado,Americas,0,Lluvia,0
95,1,Sábado,Suba,0,Lluvia,0
96,0,Miércoles,Caracas,0,Soleado,0
97,0,Domingo,Americas,0,Soleado,0
98,1,Viernes,Calle 80,0,Soleado,0
99,1,Domingo,NQS,0,Lluvia,1
100,0,Sábado,Caracas,0,Lluvia,0
101,0,Jueves,NQS,0,Lluvia,1
102,0,Lunes,Calle 26,0,Lluvia,0
103,1,Viernes,Eldorado,0,Soleado,0
104,1,Lunes,Calle 26,0,Soleado,0
105,1,Lunes,Autonorte,0,Soleado,0
106,0,Martes,Calle 80,0,Nublado,0
107,1,Miércoles,Autonorte,0,Lluvia,0
108,0,Lunes,NQS,0,Lluvia,0
109,0,Jueves,Autonorte,0,Lluvia,0
110,1,Lunes,Calle 26,0,Nublado,0
111,1,Sábado,Eldorado,0,Soleado,0
112,1,Viernes,Autonorte,0,Soleado,1
113,1,Miércoles,Calle 26,0,Lluvia,1
114,0,Jueves,Americas,0,Nublado,0
115,0,Miércoles,Calle 26,0,Soleado,0
116,0,Sábado,Americas,0,Soleado,0
117,0,Domingo,Eldorado,0,Lluvia,0
118,0,Domingo,Suba,0,Lluvia,0
119,0,Domingo,Caracas,0,Soleado,0
120,0,Lunes,NQS,0,Nublado,0
121,1,Miércoles,Autonorte,0,Soleado,1
122,1,Viernes,NQS,0,Lluvia,0
123,0,Jueves,Calle 26,0,Nublado,0
124,0,Viernes,Suba,0,Lluvia,0
125,0,Sábado,Calle 80,0,Lluvia,1
126,0,Viernes,Caracas,0,Nublado,0
127,0,Lunes,Caracas,0,Nublado,1
128,0,Martes,Calle 26,0,Lluvia,0
129,0,Lunes,Calle 26,0,Lluvia,1
130,0,Domingo,NQS,0,Soleado,0
131,0,Jueves,Caracas,0,Nublado,0
132,0,Jueves,NQS,0,Soleado,0
